sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
ANsi disoit la damoisele moult tenrement plorant. 	por su gran traiçion  e esto deçia la donçella llorando muy dolorosamente 	Ainsi disoit la damoisele moult tendement plourant. 	ANsi dissoit la damoisele ml̃t tandrement en plorant. 	AInsi disoit la damoiselle menlt tendrement plourant. 	Ensi disoit la damoisele molt tendrement plorant 	Insi dimentava la damigella molto teneramente piagnendo. 
Et lancelot vint durement poignant  la ou il le vit ester. 	e lançarote vino luego  aquella parte do la donçella tenian 	Et lors uint lancelot poiguant celle part  ou il la uit. 	et lors uint lanc̃.  cele part  ou il la uit. 	lors uient lancelot poignant celle part 	et lors vint Lancelos poignant cele part  ou il la vit: 	esAllor viene Lancellotto pugnendo in quelle parti ove la vide, 
Si dist a chiaus 	e dixo aquellos 	si dist a ceulx 	et dit a ciax 	si dist a ceulx 	si dist a cels 	si disse a quelli 
qui le tenoient.  Laissies ester la damoisele laissies. 	que la tenian dexadla donçella 	qui la tiennent laissez la damoisele par courtoisie. 	qui la renoient Laissiez la damoisele. 	qui tenoient la damoiselle/ lessies la damoiselle. 	qui le tenoient: «  Laissiés la damoisele! —  Por quoi, 	che-lla tenieno:  «Lasciate la damigella!  oE perché, 
pourcoi fait vns cheualiers armes 	Porque señor dixo vn cauallero 	Et ung cheualier arme sault auant  et dist. 	Por qoi sire fait uns cheualiers 	pour quoy fait ung cheualier arme 	sire,  fet J. chevaliers armés 	sire?,  disse uno cavaliere 
qui auant saut le lairoit on. 	que delante salio la dexaran ellos 	pour quoy la lairrons nous. 	qui auant saut  por quoi la lairons nous. 	qui deuant estoit/ la lesrons ilz. 	qui avant saut, le lairons nos ? — 	che si mise immantanente avanti.  Perché la lascerebbono elli? - 
pour chou fait il  que vous naues droit de li faire morir. 	Porque dixo lançarote  Porque no auedes derecho  Porque la matar 	par ce fait il queͥ uous nauez droit de la faire mourir. 	Por ce fait il  que uous ni auez droit en li faire morir. 	pour ce fait il  que uous naues nul droit a la faire mourir/ 	Por ce,  fet il,  que vos n’avés droit en li por fere mal. — 	Per ciò,  disse Lancellotto,  che vo' non avete diritto in lei far morire. — 
Si auons fait cil si grant 	si auemos dixo el muy grande 	Si auons fait il 	Si auons fait cil 	si auons fait celuy asses grant 	Si avons,  fet cil, 	Si abbiamo, sire,  disse quelli, 
que nous lauons atainte de murdre.  dont iou lapelai 	ca ella fue acusada de muerte 	car ie lay actainte dung meurtre  dont ie lapellay. 	que nos lauons atainte do mudre  que nos li meciens sus. 	car nous lauens actainte de meurdre donc ie lappeloie/ 	si grant  que nos l’avons atainte de murdre  dont je l’apelai, 	si grande come coloro  che-ll’ànno agiunta di tradigione  dond’io l’apellai, 
et elle sen offri a desfendre. 	e ella se ofreçio a defender 	et elle sen offry deffendre 	et ele sen offri a desfandre. 	et elle sen offrit a deffendre 	et ele s’en offri a deffendre, 	ed ella se n’oferea difendere, 
	porvn cauallero 					
mais elle ne trouua onques 	mas nunca fallo cauallero 	mais elle ne trouua oncquez 	Mais ele ne troua onques. cheualier 	mes elle ne trouua enques cheualier 	mais ele ne trova onques 	ma ella non trovò unque 
qui zs escu en portast por li. 	que porella quisiese tomar escudo 	qui pour lie en prist escu. 	qui por li enprrist escu. 	qui pour elle portast escu/ 	qui por li en prist escu 	chi per lei prendesse scudo, 
Et chou nest mie de meruelle. 	e no es marauilla 	et ce nest pas de merueilles. 	et se nest pas m̾ueille 	et ce nest pas de merueille 	et ce n’est pas merveille, 	e ciò non è mica maraviglia, 
quar cascuns set bien 	ca cadavno sabe su deslealtad 	car chascun sceit bien 	que chascuns set bien 	car chascun scait bien 	que chescuns set bien 	ché ciascuno sa bene 
que elle a desloiaument oure.  De coi fait lancelot. 	e que es Esta deslealtad dixo lançarote 	quelle en a desloyaument ouure  de quoy fait lancelot. 	comment ele en a erer de coi fait lanc̃. 	quelle a desloyaument ouure  de quoy fait lancelot/ 	quele en a desloialment ovré. —  De quoi ?  fet Lancelos. — 	ch’ella à malvagiamente operato. —  Di che?,  disse Lancellotto. — 
De chou fait cil  que elle deliura lancelot de prison. 	Que es dixo el Cauallero  que solto De Prision a lançarote 	De ce fait il  quelle deliura lancelot 	Decce fat cil  que ele deliura lanc̃. 	de oster lancelot de prison 	De ce,  fet il,  qu’ele delivra Lancelot 	Di ciò,  disse quelli,  ch’ella diliverò, 
por ocirre melyagant son frere. 	Para matar a meliangas su hermano 	pour occire meleagant son frere. 	por ocirre meleagan son frere. 	pour occire melleagant son frere 	por Meleagan ocirre, son frere. — 	si come noi sapiamo bene,  Lancellotto di Lac di pregione 
Se vous fait lancelot voles moustrer 	si vos dixo lançarote  osaredes mostrar 	Se uous ousiez monstrer fait lancelot 	Ce uos fait lanc̃.  le uoliez mostrer 	Adenc dit lancelot  se uous uoullies dire 	Se vos,  fet Lancelos, 	per uccidere Meleagant suo fratello. —  Se vo', 
						disse Lancellotto, 
que elle ait fait traison et murdre. 	que hizo deslealtad o traiçion 	quelle ait fait traison ne murmure. 	que ele fist traison ne murdre: 	quelle aist fait traison ou meurdre 	osiés mostrer  qu’ele eust fet traïson ne murdre, 	osate mostrare  ch’ella abbia fatto tradigione o murtre, 
de che seroie iou tous pres de la desfendre 	enlo soltar yo so presto dela defender 	ie suys prest du deffendre. 	Ie seroie pret del desfandre 	ie suys prest de prouuer a lencontre. 	je seroie pres del deffendre. — 	io son presto di difendella. — 
Qui estes vous fait cil. 	Quien sodes vos dixo el cauallero 	Oui estes uous fait il. 	Qui estes uos fait cil. 	Et pourtant aduises se deffendre le uoulles.  Qui estes uous fa⟦i⟧t celuy/ cheualier 	Qui estes vos?  fet cil. — 	Chi siete voi,  sire?, 
Iou sui vns cheualiers fait lancelot 	vn cauallero dixo Lançarote 	Ie suys ung cheualier fait il 	uns cheualiers sui fait cil. 	suys fait lancelot	Uns chevaliers sui,  fet Lancelos, 	disse quelli. — Uno cavaliere sono io,  disse Lancellotto, 
qui chi sui venus  por rescorre ceste damoisele.  Desfendre fait cil.  par foy se iou voloie.  il ne men conuendroit pas desfendre. 	so que vengo aqui  poresta donçella defender  Por buena fee dixo el cauallero  si yo quisiere no me conbatiria  mas sobre esta rrazon	qui uiens ceste part  pour deffendre ceste damoisele.  par foy sire fait il.  il ne men conuiendroit ia combatre si ie uouloye. 	Qui uing ceste part por li desfendre.  Par foi fait cil.  Ce ie uoloie il ne men conuanroit ia conbatre. 	qui uiens uers ceste part  pour deffendre la damoiselle.  Par ma foy se ie uoulloie  il ne men conuendroit ia deffendre. 	qui vieng ceste part  por ceste damoisele deffendre. —  Par foi,  fet cil,  se je voloie,  il ne m’en covendroit ja combatre, 	che vegno in queste parti  per questa damigella difendere.  —Per fé,  disse quelli,  s’i' volessi,  e' non mi converebbe già combattere, 
Car des hier estoit elle atainte 	que ayer se cumplio el plazo  enque ella se auia de defender 	Car ia pieca en est elle ataincte 	Car des ier eu est ele ia atainte. 	car des hyer elle estoit attaincte 	kar des ier en est !  ele atainte, 	ché nfino ieri ne fu ella agiunta, 
puis quele ne pot desfendeor trouuer  qui la desfendist. 	mas yo se que no fallo quien la defendiese 	puis quelle na peu trouuer  qui la deffende. 	puis que ele ne post trouer  qui la desfandist. 	puis quelle ne pouoit deffence trouuer/ 	puis qu’ele ne pot trover  qui la deffendist, 	poscia ch’ella no poté trovare  chi-lla difendesse; 
Mais iou y senc ma droiture si loial. 	mas yo se que ella es asi enesto desleal 	mais ie sens ma querele a si loyal et si droiturier 	mais ie sen ma querele si aloial.  et si a droituriere; 	mes ie sens ma droicture si loyalle 	mais je sent ma querele a si loial et si droituriere 	ma i' so si mia ragione leale e diritta 
quil na cheualier el monde uers 	que no a cauallero enel mundo conquien 	quil ny a cheualier ou monde uers 	quil na cheualier el monde uers 	quil n y a cheualier eu monde contre 	qu’il n’a chevalier el monde 	che non à al mondo cavaliere 
qui iou ne losaisse bien moustrer au droit  que iou y ai. 	no me osare conbatir sobre esta Razon  ansi me esfuerço enmi gran derecho 	qui ie ne losasse bien prouuer au grant droit  que ie y ay. 	cui ie ne lo fasse bien prouer au grant droit  que gi ai. 	qui ie ne losasses bien prouuer. 	vers cui je ne l’osaise bien prover au ? grant droit  que je i ai. — 	verso cui i' non l’osasse bene mostrare,  al gran diritto  ch’io ò. — 
En non dieu fait lancelot.  Ore y para quar iou sui tous pres 	enel nombre de dios  dixo lançarote  agora paresçera 	Certes fait lancelot ores  y parra 	EN non dieu fait lanc̃.  or i parra.  car ie sui pres 	Eu nen dieu fait lancelot ie suys tout prest de la deffendre 	En non Dieu,  fet Lancelos,  or i parra,  que je sui pres 	nome di Dio,  disse Lancellotto,  or parrà,  ch’io son presto 
que iou la desfende uers vous. 	que yo so presto dela defender 	car ie suys prest de la defendre uers uous 	que ie la deffande uers uos. 	uers uous/ uoire dist celuy/ par mon chief et uous en moures 	que je la desfende vers vos. — 	ch’io la difenda inverso voi. — 
voire fait cil.  Et par mon chief et vous y morres comme traitres et desloiaus. 	de verdad  dixo el cauallero  porla mi caueza vos moriredes  porende como traidor e desleal 	uoire fait il.  par mon chef uous en mourres comme traistre et desleal 	Uoire fait cil. par mon chief et uos en morrois comme traites et desloiax. 	comment traictre et desloyal/ 	Voire,  fet cil, par mon chief,  et vos en morrois comme traitres et desloials. » 	Vere,  disse quelli,  per mio capo voi ne morete come traditore e dislealeb. 
Lors traient la damoisele loing del fu. 	e luego tiraron la donçella del fuego 	Lors tirent la damoisile au dessus du feu. 	Lors traient la damoisele ensus del feu 	Lors est la damoiselle reculee du feu/ 	Lors traient la damoisele loins del feu 	oAllor trae el cavaliere immantanente lungi del fuoco, 
et li cheualiers seslongent li vns de lautre.  puis sentrelaissent corre li vns vers lautre.  quanque il porent des cheuax traire. 	e los caualleros se dexaron correr el vno contrael  otro quanto los cauallos los pudieron lleuar 	et les cheualiers se esloiguent si tost  que les cheuaux peuent courre 	et li cheualier sentͤa longuet li uns de lautre.  Si sentreuienuent nent si tost conli cheuaus lor pueent aler. 	et les cheualiers se eslongnent  et puys uiennent lun contre laultre tant come cheuaulx peuent courre/ 	et li chevalier s’entreslongent li uns de l’autre,  si s’entrevienent si tost com li cheval pueent aler 	e i cavalier si traslungano l’uno da l’altro,  si si travengono si tosto come i cavalli possono andare, 
si sentrefierent si durement 	e firieronse delas lanças tan fieramente 	et sentrefierent des glayues si fort 	Si sentrefierent des glaiues si durement 	et sentrefierent si durement 	et s’entrefierent des glaives si durement 	e si trafegono delle lance 
que lor glaiues volent en pieces. 	asi que las lanças fiçieron bolar en pieças 	quilz les font uoler en pieces. 	quil les font uoler en pieces. 	que les lances uollent en pieces. 	qu’il les font voler en pieces; 	sicché le fanno volare in pezzi. 
puis sentrehurtent des cors et des uisages si durement  quil ni ot celui 	e toparon envno delos cuerpos 	puis sentrehurtent des corps et des uisages  si quil ny a celuy 	puis sentrehurtent des cors et des uisages.  Si que il ni a celui 		puis s’entrehurtent si des cors et des visages  qu’il n’i a celui 	WPoscia si trapercuotono di corpi e di visaggi,  si che non v’à colui 
quil ne fust desconrees.  Mais li cheualiers fu si estordis  quil ne se pot tenir es archons de sa sele  Ains uole ius de son cheual,  Et au fn el chair feri li coins de son heaume en terre. 	e delos yelmos  que el caballero no se pudo tener enla silla  ante cayo del caballo en tierra 	qui ne soit tout estourdy  et estonne.  mais le cheualier est si estonne  qu il ne puet tenir en sele.  ains uole ius du cheual.  et au choir fery li quint du heaume en terre 	qui tous ne soit estordis et desconrares.  mais li cheualiers est  Si estordis  quil ne se puet tenir en sele ains bale a terre.  et au parcheoir feri li coins en cͣre del hiame. 	mes le cheualier ne se peult tenir en la selle/  ains uolle ius du cheual/  et au choir ferit le coing du feaulme a terre 	qui tos ne soit estordis et desconreez.  Mais li chevaliers par est si estonés  qu’il ne se puet tenir en sele,  ains vole jus del cheval et al parchaoir feri li  quins del hialme en la terre,  si qu’a bien 	che tutto non sia stordito e discassato.  Ma il cavaliere pare sì istordito  che non si può tenere in sella,  anzi vola giù del cavallo:  al cadere fedi il jeru† de l’elmo in terra, 
si qua poi quil not le col brisie. 	e al caer ouierasele el pesqueço de quebrar 	si qua pou quil na le coul froisse 	Si qua bien pou que cil na le col brisie. s quant lanc̃. 	si que a pou quil na le col brisie. 	pou qu’il n’a le col brisié. 	sicché a poco che non à il collo rotto. 
Et quant lancelot ot fait son tor 	ca dio de cabeça del yelmo en tierra 	Et quant lancelot a fait son tour si descent. 	a fait son cor si descent 	Et quant lancelot le uoit si descent a pie 	Et quant Lancelos a fet son tour, 	oE quando Lancellotto à fatto suo torno, 
si descent quar hontes li samble s de requerre a cheual celui  qui estoit a pie.  Si trait lespee  et corut sus a celui 	e quando lançarote torno desçendio  ca el lo no queria acometer de Cauallo  porque el estaua de pie  e metio mano al espada 	car honte luy seroit de requerre a cheual celuy  qui est a pie.  si trait lespee  et court sus a celuy 	Car honte li fust de requerre a cheual celui qui estoit a pie.  Si trait lespee  et cort sus celui 	et tire son espee  et court sus a celuy 	si descent,  kar honte li seroit de requerre a cheval celui  qui est a pié;  si trait l’espee  et cort sus a celui 	si discende,  ché onta gli sarebbe di richiedere colui a cavallo  tanto come sia a piè discenduto,  e corre suso a colui 
